GO,n_genes,TERM,contrast,term_label
GO:0009220,2,pyrimidine ribonucleotide biosynthetic process,mature_vs_early,pyrimidine ribonucleotide biosynthetic process
GO:0009229,2,thiamine diphosphate biosynthetic process,mature_vs_early,thiamine diphosphate biosynthetic process
GO:0009231,2,riboflavin biosynthetic process,mature_vs_early,riboflavin biosynthetic process
GO:0009263,2,deoxyribonucleotide biosynthetic process,mature_vs_early,deoxyribonucleotide biosynthetic process
GO:0009302,2,sno(s)RNA transcription,mature_vs_early,sno(s)RNA transcription
GO:0009451,2,RNA modification,mature_vs_early,RNA modification
GO:0010133,2,L-proline catabolic process to L-glutamate,mature_vs_early,L-proline catabolic process to L-glutamate
GO:0010273,2,detoxification of copper ion,mature_vs_early,detoxification of copper ion
GO:0010447,2,response to acidic pH,mature_vs_early,response to acidic pH
GO:0010603,2,regulation of cytoplasmic mRNA processing body assembly,mature_vs_early,regulation of cytoplasmic mRNA processing body assembly
GO:0010607,2,negative regulation of cytoplasmic mRNA processing body assembly,mature_vs_early,negative regulation of cytoplasmic mRNA processing body assembly
GO:0010961,2,intracellular magnesium ion homeostasis,mature_vs_early,intracellular magnesium ion homeostasis
GO:0010994,2,free ubiquitin chain polymerization,mature_vs_early,free ubiquitin chain polymerization
GO:0015691,2,cadmium ion transport,mature_vs_early,cadmium ion transport
GO:0015693,2,magnesium ion transport,mature_vs_early,magnesium ion transport
GO:0015718,2,monocarboxylic acid transport,mature_vs_early,monocarboxylic acid transport
GO:0015729,2,oxaloacetate transport,mature_vs_early,oxaloacetate transport
GO:0015804,2,neutral amino acid transport,mature_vs_early,neutral amino acid transport
GO:0015813,2,L-glutamate transmembrane transport,mature_vs_early,L-glutamate transmembrane transport
GO:0015823,2,phenylalanine transport,mature_vs_early,phenylalanine transport
GO:0015824,2,proline transport,mature_vs_early,proline transport
GO:0015825,2,L-serine transport,mature_vs_early,L-serine transport
GO:0015826,2,threonine transport,mature_vs_early,threonine transport
GO:0015828,2,tyrosine transport,mature_vs_early,tyrosine transport
GO:0015840,2,urea transport,mature_vs_early,urea transport
GO:0015856,2,cytosine transport,mature_vs_early,cytosine transport
GO:0015908,2,fatty acid transport,mature_vs_early,fatty acid transport
GO:0015909,2,long-chain fatty acid transport,mature_vs_early,long-chain fatty acid transport
GO:0015936,2,coenzyme A metabolic process,mature_vs_early,coenzyme A metabolic process
GO:0015937,2,coenzyme A biosynthetic process,mature_vs_early,coenzyme A biosynthetic process
GO:0015940,2,pantothenate biosynthetic process,mature_vs_early,pantothenate biosynthetic process
GO:0015976,2,carbon utilization,mature_vs_early,carbon utilization
GO:0015980,2,energy derivation by oxidation of organic compounds,mature_vs_early,energy derivation by oxidation of organic compounds
GO:0016051,2,carbohydrate biosynthetic process,mature_vs_early,carbohydrate biosynthetic process
GO:0016125,2,sterol metabolic process,mature_vs_early,sterol metabolic process
GO:0016479,2,negative regulation of transcription by RNA polymerase I,mature_vs_early,negative regulation of transcription by RNA polymerase I
GO:0017183,2,protein histidyl modification to diphthamide,mature_vs_early,protein histidyl modification to diphthamide
GO:0018890,2,cyanamide metabolic process,mature_vs_early,cyanamide metabolic process
GO:0019220,2,regulation of phosphate metabolic process,mature_vs_early,regulation of phosphate metabolic process
GO:0019287,2,"isopentenyl diphosphate biosynthetic process, mevalonate pathway",mature_vs_early,"isopentenyl diphosphate biosynthetic process, mevalonate pathway"
GO:0019309,2,mannose catabolic process,mature_vs_early,mannose catabolic process
GO:0019388,2,galactose catabolic process,mature_vs_early,galactose catabolic process
GO:0019441,2,L-tryptophan catabolic process to kynurenine,mature_vs_early,L-tryptophan catabolic process to kynurenine
GO:0019464,2,glycine decarboxylation via glycine cleavage system,mature_vs_early,glycine decarboxylation via glycine cleavage system
GO:0019483,2,beta-alanine biosynthetic process,mature_vs_early,beta-alanine biosynthetic process
GO:0019493,2,L-arginine catabolic process to L-proline,mature_vs_early,L-arginine catabolic process to L-proline
GO:0019509,2,L-methionine salvage from methylthioadenosine,mature_vs_early,L-methionine salvage from methylthioadenosine
GO:0019588,2,anaerobic glycerol catabolic process,mature_vs_early,anaerobic glycerol catabolic process
GO:0019594,2,mannitol metabolic process,mature_vs_early,mannitol metabolic process
GO:0019722,2,calcium-mediated signaling,mature_vs_early,calcium-mediated signaling
GO:0019985,2,translesion synthesis,mature_vs_early,translesion synthesis
GO:0030011,2,maintenance of cell polarity,mature_vs_early,maintenance of cell polarity
GO:0030041,2,actin filament polymerization,mature_vs_early,actin filament polymerization
GO:0030388,2,"fructose 1,6-bisphosphate metabolic process",mature_vs_early,"fructose 1,6-bisphosphate metabolic process"
GO:0031118,2,rRNA pseudouridine synthesis,mature_vs_early,rRNA pseudouridine synthesis
GO:0031120,2,snRNA pseudouridine synthesis,mature_vs_early,snRNA pseudouridine synthesis
GO:0031122,2,cytoplasmic microtubule organization,mature_vs_early,cytoplasmic microtubule organization
GO:0031321,2,ascospore-type prospore assembly,mature_vs_early,ascospore-type prospore assembly
GO:0031333,2,negative regulation of protein-containing complex assembly,mature_vs_early,negative regulation of protein-containing complex assembly
GO:0031335,2,regulation of sulfur amino acid metabolic process,mature_vs_early,regulation of sulfur amino acid metabolic process
GO:0031398,2,positive regulation of protein ubiquitination,mature_vs_early,positive regulation of protein ubiquitination
GO:0031452,2,negative regulation of heterochromatin formation,mature_vs_early,negative regulation of heterochromatin formation
GO:0031503,2,protein-containing complex localization,mature_vs_early,protein-containing complex localization
GO:0031990,2,mRNA export from nucleus in response to heat stress,mature_vs_early,mRNA export from nucleus in response to heat stress
GO:0032000,2,positive regulation of fatty acid beta-oxidation,mature_vs_early,positive regulation of fatty acid beta-oxidation
GO:0032007,2,negative regulation of TOR signaling,mature_vs_early,negative regulation of TOR signaling
GO:0032056,2,positive regulation of translation in response to stress,mature_vs_early,positive regulation of translation in response to stress
GO:0032185,2,septin cytoskeleton organization,mature_vs_early,septin cytoskeleton organization
GO:0032204,2,regulation of telomere maintenance,mature_vs_early,regulation of telomere maintenance
GO:0032212,2,positive regulation of telomere maintenance via telomerase,mature_vs_early,positive regulation of telomere maintenance via telomerase
GO:0032233,2,positive regulation of actin filament bundle assembly,mature_vs_early,positive regulation of actin filament bundle assembly
GO:0032263,2,GMP salvage,mature_vs_early,GMP salvage
GO:0032264,2,IMP salvage,mature_vs_early,IMP salvage
GO:0032265,2,XMP salvage,mature_vs_early,XMP salvage
GO:0032386,2,regulation of intracellular transport,mature_vs_early,regulation of intracellular transport
GO:0032509,2,endosome transport via multivesicular body sorting pathway,mature_vs_early,endosome transport via multivesicular body sorting pathway
GO:0032780,2,negative regulation of ATP-dependent activity,mature_vs_early,negative regulation of ATP-dependent activity
GO:0032787,2,monocarboxylic acid metabolic process,mature_vs_early,monocarboxylic acid metabolic process
GO:0032888,2,regulation of mitotic spindle elongation,mature_vs_early,regulation of mitotic spindle elongation
GO:0032973,2,amino acid export across plasma membrane,mature_vs_early,amino acid export across plasma membrane
GO:0032974,2,amino acid transmembrane export from vacuole,mature_vs_early,amino acid transmembrane export from vacuole
GO:0032979,2,protein insertion into mitochondrial inner membrane from matrix,mature_vs_early,protein insertion into mitochondrial inner membrane from matrix
GO:0033014,2,tetrapyrrole biosynthetic process,mature_vs_early,tetrapyrrole biosynthetic process
GO:0033212,2,iron import into cell,mature_vs_early,iron import into cell
GO:0033214,2,siderophore-iron import into cell,mature_vs_early,siderophore-iron import into cell
GO:0033215,2,reductive iron assimilation,mature_vs_early,reductive iron assimilation
GO:0033260,2,nuclear DNA replication,mature_vs_early,nuclear DNA replication
GO:0033262,2,regulation of nuclear cell cycle DNA replication,mature_vs_early,regulation of nuclear cell cycle DNA replication
GO:0033499,2,"galactose catabolic process via UDP-galactose, Leloir pathway",mature_vs_early,"galactose catabolic process via UDP-galactose, Leloir pathway"
GO:0034067,2,protein localization to Golgi apparatus,mature_vs_early,protein localization to Golgi apparatus
GO:0034090,2,maintenance of meiotic sister chromatid cohesion,mature_vs_early,maintenance of meiotic sister chromatid cohesion
GO:0034219,2,carbohydrate transmembrane transport,mature_vs_early,carbohydrate transmembrane transport
GO:0034224,2,cellular response to zinc ion starvation,mature_vs_early,cellular response to zinc ion starvation
GO:0034314,2,Arp2/3 complex-mediated actin nucleation,mature_vs_early,Arp2/3 complex-mediated actin nucleation
GO:0034337,2,RNA folding,mature_vs_early,RNA folding
GO:0034354,2,'de novo' NAD+ biosynthetic process from L-tryptophan,mature_vs_early,'de novo' NAD+ biosynthetic process from L-tryptophan
GO:0034498,2,early endosome to Golgi transport,mature_vs_early,early endosome to Golgi transport
GO:0034503,2,protein localization to nucleolar rDNA repeats,mature_vs_early,protein localization to nucleolar rDNA repeats
GO:0034517,2,ribophagy,mature_vs_early,ribophagy
GO:0034620,2,cellular response to unfolded protein,mature_vs_early,cellular response to unfolded protein
GO:0034755,2,iron ion transmembrane transport,mature_vs_early,iron ion transmembrane transport
GO:0035024,2,negative regulation of Rho protein signal transduction,mature_vs_early,negative regulation of Rho protein signal transduction
GO:0035025,2,positive regulation of Rho protein signal transduction,mature_vs_early,positive regulation of Rho protein signal transduction
GO:0035336,2,long-chain fatty-acyl-CoA metabolic process,mature_vs_early,long-chain fatty-acyl-CoA metabolic process
GO:0035445,2,borate transmembrane transport,mature_vs_early,borate transmembrane transport
GO:0035542,2,regulation of SNARE complex assembly,mature_vs_early,regulation of SNARE complex assembly
GO:0035725,2,sodium ion transmembrane transport,mature_vs_early,sodium ion transmembrane transport
GO:0036297,2,interstrand cross-link repair,mature_vs_early,interstrand cross-link repair
GO:0036508,2,"protein alpha-1,2-demannosylation",mature_vs_early,"protein alpha-1,2-demannosylation"
GO:0038202,2,TORC1 signaling,mature_vs_early,TORC1 signaling
GO:0040020,2,regulation of meiotic nuclear division,mature_vs_early,regulation of meiotic nuclear division
GO:0042255,2,ribosome assembly,mature_vs_early,ribosome assembly
GO:0042262,2,DNA protection,mature_vs_early,DNA protection
GO:0042326,2,negative regulation of phosphorylation,mature_vs_early,negative regulation of phosphorylation
GO:0042594,2,response to starvation,mature_vs_early,response to starvation
GO:0042631,2,cellular response to water deprivation,mature_vs_early,cellular response to water deprivation
GO:0042727,2,flavin-containing compound biosynthetic process,mature_vs_early,flavin-containing compound biosynthetic process
GO:0042761,2,very long-chain fatty acid biosynthetic process,mature_vs_early,very long-chain fatty acid biosynthetic process
GO:0042770,2,signal transduction in response to DNA damage,mature_vs_early,signal transduction in response to DNA damage
GO:0042773,2,ATP synthesis coupled electron transport,mature_vs_early,ATP synthesis coupled electron transport
GO:0042780,2,tRNA 3'-end processing,mature_vs_early,tRNA 3'-end processing
GO:0042797,2,tRNA transcription by RNA polymerase III,mature_vs_early,tRNA transcription by RNA polymerase III
GO:0042819,2,vitamin B6 biosynthetic process,mature_vs_early,vitamin B6 biosynthetic process
GO:0042823,2,pyridoxal phosphate biosynthetic process,mature_vs_early,pyridoxal phosphate biosynthetic process
GO:0042938,2,dipeptide transport,mature_vs_early,dipeptide transport
GO:0042939,2,tripeptide transport,mature_vs_early,tripeptide transport
GO:0043065,2,positive regulation of apoptotic process,mature_vs_early,positive regulation of apoptotic process
GO:0043137,2,"DNA replication, removal of RNA primer",mature_vs_early,"DNA replication, removal of RNA primer"
GO:0043171,2,peptide catabolic process,mature_vs_early,peptide catabolic process
GO:0043392,2,negative regulation of DNA binding,mature_vs_early,negative regulation of DNA binding
GO:0043409,2,negative regulation of MAPK cascade,mature_vs_early,negative regulation of MAPK cascade
GO:0043457,2,regulation of cellular respiration,mature_vs_early,regulation of cellular respiration
GO:0043488,2,regulation of mRNA stability,mature_vs_early,regulation of mRNA stability
GO:0043934,2,sporulation,mature_vs_early,sporulation
GO:0043937,2,regulation of sporulation,mature_vs_early,regulation of sporulation
GO:0044396,2,actin cortical patch organization,mature_vs_early,actin cortical patch organization
GO:0044539,2,long-chain fatty acid import into cell,mature_vs_early,long-chain fatty acid import into cell
GO:0044774,2,mitotic DNA integrity checkpoint signaling,mature_vs_early,mitotic DNA integrity checkpoint signaling
GO:0045010,2,actin nucleation,mature_vs_early,actin nucleation
GO:0045046,2,protein import into peroxisome membrane,mature_vs_early,protein import into peroxisome membrane
GO:0045053,2,protein retention in Golgi apparatus,mature_vs_early,protein retention in Golgi apparatus
GO:0045722,2,positive regulation of gluconeogenesis,mature_vs_early,positive regulation of gluconeogenesis
GO:0045899,2,positive regulation of RNA polymerase II transcription preinitiation complex assembly,mature_vs_early,positive regulation of RNA polymerase II transcription preinitiation complex assembly
GO:0045901,2,positive regulation of translational elongation,mature_vs_early,positive regulation of translational elongation
GO:0045921,2,positive regulation of exocytosis,mature_vs_early,positive regulation of exocytosis
GO:0045945,2,positive regulation of transcription by RNA polymerase III,mature_vs_early,positive regulation of transcription by RNA polymerase III
GO:0045947,2,negative regulation of translational initiation,mature_vs_early,negative regulation of translational initiation
GO:0046100,2,hypoxanthine metabolic process,mature_vs_early,hypoxanthine metabolic process
GO:0046474,2,glycerophospholipid biosynthetic process,mature_vs_early,glycerophospholipid biosynthetic process
GO:0046475,2,glycerophospholipid catabolic process,mature_vs_early,glycerophospholipid catabolic process
GO:0046513,2,ceramide biosynthetic process,mature_vs_early,ceramide biosynthetic process
GO:0046578,2,regulation of Ras protein signal transduction,mature_vs_early,regulation of Ras protein signal transduction
GO:0046654,2,tetrahydrofolate biosynthetic process,mature_vs_early,tetrahydrofolate biosynthetic process
GO:0046656,2,folic acid biosynthetic process,mature_vs_early,folic acid biosynthetic process
GO:0046677,2,response to antibiotic,mature_vs_early,response to antibiotic
GO:0046685,2,response to arsenic-containing substance,mature_vs_early,response to arsenic-containing substance
GO:0046785,2,microtubule polymerization,mature_vs_early,microtubule polymerization
GO:0048015,2,phosphatidylinositol-mediated signaling,mature_vs_early,phosphatidylinositol-mediated signaling
GO:0048193,2,Golgi vesicle transport,mature_vs_early,Golgi vesicle transport
GO:0048219,2,inter-Golgi cisterna vesicle-mediated transport,mature_vs_early,inter-Golgi cisterna vesicle-mediated transport
GO:0048278,2,vesicle docking,mature_vs_early,vesicle docking
GO:0048280,2,vesicle fusion with Golgi apparatus,mature_vs_early,vesicle fusion with Golgi apparatus
GO:0048312,2,intracellular distribution of mitochondria,mature_vs_early,intracellular distribution of mitochondria
GO:0050427,2,3'-phosphoadenosine 5'-phosphosulfate metabolic process,mature_vs_early,3'-phosphoadenosine 5'-phosphosulfate metabolic process
GO:0051027,2,DNA transport,mature_vs_early,DNA transport
GO:0051058,2,negative regulation of small GTPase mediated signal transduction,mature_vs_early,negative regulation of small GTPase mediated signal transduction
GO:0051228,2,mitotic spindle disassembly,mature_vs_early,mitotic spindle disassembly
GO:0051278,2,fungal-type cell wall polysaccharide biosynthetic process,mature_vs_early,fungal-type cell wall polysaccharide biosynthetic process
GO:0051365,2,cellular response to potassium ion starvation,mature_vs_early,cellular response to potassium ion starvation
GO:0051664,2,nuclear pore localization,mature_vs_early,nuclear pore localization
GO:0055070,2,copper ion homeostasis,mature_vs_early,copper ion homeostasis
GO:0055086,2,nucleobase-containing small molecule metabolic process,mature_vs_early,nucleobase-containing small molecule metabolic process
GO:0055088,2,lipid homeostasis,mature_vs_early,lipid homeostasis
GO:0055129,2,L-proline biosynthetic process,mature_vs_early,L-proline biosynthetic process
GO:0060188,2,regulation of protein desumoylation,mature_vs_early,regulation of protein desumoylation
GO:0061024,2,membrane organization,mature_vs_early,membrane organization
GO:0061025,2,membrane fusion,mature_vs_early,membrane fusion
GO:0061157,2,mRNA destabilization,mature_vs_early,mRNA destabilization
GO:0061186,2,negative regulation of silent mating-type cassette heterochromatin formation,mature_vs_early,negative regulation of silent mating-type cassette heterochromatin formation
GO:0061188,2,negative regulation of rDNA heterochromatin formation,mature_vs_early,negative regulation of rDNA heterochromatin formation
GO:0061610,2,glycerol to glycerone phosphate metabolic process,mature_vs_early,glycerol to glycerone phosphate metabolic process
GO:0061723,2,glycophagy,mature_vs_early,glycophagy
GO:0061909,2,autophagosome-lysosome fusion,mature_vs_early,autophagosome-lysosome fusion
GO:0070125,2,mitochondrial translational elongation,mature_vs_early,mitochondrial translational elongation
GO:0070130,2,negative regulation of mitochondrial translation,mature_vs_early,negative regulation of mitochondrial translation
GO:0070314,2,G1 to G0 transition,mature_vs_early,G1 to G0 transition
GO:0070478,2,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay",mature_vs_early,"nuclear-transcribed mRNA catabolic process, 3'-5' exonucleolytic nonsense-mediated decay"
GO:0070525,2,tRNA threonylcarbamoyladenosine metabolic process,mature_vs_early,tRNA threonylcarbamoyladenosine metabolic process
GO:0070588,2,calcium ion transmembrane transport,mature_vs_early,calcium ion transmembrane transport
GO:0070843,2,misfolded protein transport,mature_vs_early,misfolded protein transport
GO:0070966,2,"nuclear-transcribed mRNA catabolic process, no-go decay",mature_vs_early,"nuclear-transcribed mRNA catabolic process, no-go decay"
GO:0070979,2,protein K11-linked ubiquitination,mature_vs_early,protein K11-linked ubiquitination
GO:0071036,2,nuclear polyadenylation-dependent snoRNA catabolic process,mature_vs_early,nuclear polyadenylation-dependent snoRNA catabolic process
GO:0071037,2,nuclear polyadenylation-dependent snRNA catabolic process,mature_vs_early,nuclear polyadenylation-dependent snRNA catabolic process
GO:0071040,2,nuclear polyadenylation-dependent antisense transcript catabolic process,mature_vs_early,nuclear polyadenylation-dependent antisense transcript catabolic process
GO:0071041,2,antisense RNA transcript catabolic process,mature_vs_early,antisense RNA transcript catabolic process
GO:0071044,2,histone mRNA catabolic process,mature_vs_early,histone mRNA catabolic process
GO:0071071,2,regulation of phospholipid biosynthetic process,mature_vs_early,regulation of phospholipid biosynthetic process
GO:0071218,2,cellular response to misfolded protein,mature_vs_early,cellular response to misfolded protein
GO:0071244,2,cellular response to carbon dioxide,mature_vs_early,cellular response to carbon dioxide
GO:0071269,2,L-homocysteine biosynthetic process,mature_vs_early,L-homocysteine biosynthetic process
GO:0071333,2,cellular response to glucose stimulus,mature_vs_early,cellular response to glucose stimulus
GO:0071361,2,cellular response to ethanol,mature_vs_early,cellular response to ethanol
GO:0071421,2,manganese ion transmembrane transport,mature_vs_early,manganese ion transmembrane transport
GO:0071422,2,succinate transmembrane transport,mature_vs_early,succinate transmembrane transport
GO:0071464,2,cellular response to hydrostatic pressure,mature_vs_early,cellular response to hydrostatic pressure
GO:0071476,2,cellular hypotonic response,mature_vs_early,cellular hypotonic response
GO:0071497,2,cellular response to freezing,mature_vs_early,cellular response to freezing
GO:0071596,2,ubiquitin-dependent protein catabolic process via the N-end rule pathway,mature_vs_early,ubiquitin-dependent protein catabolic process via the N-end rule pathway
GO:0071788,2,endoplasmic reticulum tubular network maintenance,mature_vs_early,endoplasmic reticulum tubular network maintenance
GO:0071970,2,fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process,mature_vs_early,fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process
GO:0072318,2,clathrin coat disassembly,mature_vs_early,clathrin coat disassembly
GO:0072348,2,sulfur compound transport,mature_vs_early,sulfur compound transport
GO:0072521,2,purine-containing compound metabolic process,mature_vs_early,purine-containing compound metabolic process
GO:0072530,2,purine-containing compound transmembrane transport,mature_vs_early,purine-containing compound transmembrane transport
GO:0072583,2,clathrin-dependent endocytosis,mature_vs_early,clathrin-dependent endocytosis
GO:0072593,2,reactive oxygen species metabolic process,mature_vs_early,reactive oxygen species metabolic process
GO:0072659,2,protein localization to plasma membrane,mature_vs_early,protein localization to plasma membrane
GO:0072666,2,establishment of protein localization to vacuole,mature_vs_early,establishment of protein localization to vacuole
GO:0072697,2,protein localization to cell cortex,mature_vs_early,protein localization to cell cortex
GO:0072741,2,protein localization to cell division site,mature_vs_early,protein localization to cell division site
GO:0075523,2,viral translational frameshifting,mature_vs_early,viral translational frameshifting
GO:0089709,2,L-histidine transmembrane transport,mature_vs_early,L-histidine transmembrane transport
GO:0090029,2,negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion,mature_vs_early,negative regulation of pheromone-dependent signal transduction involved in conjugation with cellular fusion
GO:0090153,2,regulation of sphingolipid biosynthetic process,mature_vs_early,regulation of sphingolipid biosynthetic process
GO:0090262,2,regulation of transcription-coupled nucleotide-excision repair,mature_vs_early,regulation of transcription-coupled nucleotide-excision repair
GO:0090615,2,mitochondrial mRNA processing,mature_vs_early,mitochondrial mRNA processing
GO:0097035,2,regulation of membrane lipid distribution,mature_vs_early,regulation of membrane lipid distribution
GO:0097250,2,mitochondrial respirasome assembly,mature_vs_early,mitochondrial respirasome assembly
GO:0097446,2,protein localization to eisosome filament,mature_vs_early,protein localization to eisosome filament
GO:0097576,2,vacuole fusion,mature_vs_early,vacuole fusion
GO:0097745,2,mitochondrial tRNA 5'-end processing,mature_vs_early,mitochondrial tRNA 5'-end processing
GO:0097753,2,membrane bending,mature_vs_early,membrane bending
GO:0098609,2,cell-cell adhesion,mature_vs_early,cell-cell adhesion
GO:0098653,2,centromere clustering,mature_vs_early,centromere clustering
GO:0098656,2,monoatomic anion transmembrane transport,mature_vs_early,monoatomic anion transmembrane transport
GO:0099022,2,vesicle tethering,mature_vs_early,vesicle tethering
GO:0106380,2,purine ribonucleotide salvage,mature_vs_early,purine ribonucleotide salvage
GO:0120010,2,intermembrane phospholipid transfer,mature_vs_early,intermembrane phospholipid transfer
GO:0120174,2,stress-induced homeostatically regulated protein degradation pathway,mature_vs_early,stress-induced homeostatically regulated protein degradation pathway
GO:0140021,2,mitochondrial ADP transmembrane transport,mature_vs_early,mitochondrial ADP transmembrane transport
GO:0140469,2,GCN2-mediated signaling,mature_vs_early,GCN2-mediated signaling
GO:0140624,2,EGAD pathway,mature_vs_early,EGAD pathway
GO:0141164,2,mitochondrial protein quality control,mature_vs_early,mitochondrial protein quality control
GO:0160020,2,positive regulation of ferroptosis,mature_vs_early,positive regulation of ferroptosis
GO:1900102,2,negative regulation of endoplasmic reticulum unfolded protein response,mature_vs_early,negative regulation of endoplasmic reticulum unfolded protein response
GO:1900180,2,regulation of protein localization to nucleus,mature_vs_early,regulation of protein localization to nucleus
GO:1900182,2,positive regulation of protein localization to nucleus,mature_vs_early,positive regulation of protein localization to nucleus
GO:1900436,2,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation,mature_vs_early,positive regulation of filamentous growth of a population of unicellular organisms in response to starvation
GO:1901135,2,carbohydrate derivative metabolic process,mature_vs_early,carbohydrate derivative metabolic process
GO:1901426,2,response to furfural,mature_vs_early,response to furfural
GO:1901900,2,regulation of protein localization to cell division site,mature_vs_early,regulation of protein localization to cell division site
GO:1901901,2,regulation of protein localization to cell division site involved in cytokinesis,mature_vs_early,regulation of protein localization to cell division site involved in cytokinesis
GO:1901925,2,negative regulation of protein import into nucleus during spindle assembly checkpoint,mature_vs_early,negative regulation of protein import into nucleus during spindle assembly checkpoint
GO:1901992,2,positive regulation of mitotic cell cycle phase transition,mature_vs_early,positive regulation of mitotic cell cycle phase transition
GO:1902356,2,oxaloacetate(2-) transmembrane transport,mature_vs_early,oxaloacetate(2-) transmembrane transport
GO:1902404,2,mitotic actomyosin contractile ring contraction,mature_vs_early,mitotic actomyosin contractile ring contraction
GO:1902542,2,regulation of protein localization to mitotic spindle pole body,mature_vs_early,regulation of protein localization to mitotic spindle pole body
GO:1902626,2,assembly of large subunit precursor of preribosome,mature_vs_early,assembly of large subunit precursor of preribosome
GO:1902775,2,mitochondrial large ribosomal subunit assembly,mature_vs_early,mitochondrial large ribosomal subunit assembly
GO:1903024,2,positive regulation of ascospore-type prospore membrane formation,mature_vs_early,positive regulation of ascospore-type prospore membrane formation
GO:1903138,2,negative regulation of cell integrity MAPK cascade,mature_vs_early,negative regulation of cell integrity MAPK cascade
GO:1903338,2,regulation of cell wall organization or biogenesis,mature_vs_early,regulation of cell wall organization or biogenesis
GO:1903424,2,fluoride transmembrane transport,mature_vs_early,fluoride transmembrane transport
GO:1903452,2,positive regulation of G1 to G0 transition,mature_vs_early,positive regulation of G1 to G0 transition
GO:1903577,2,cellular response to L-arginine,mature_vs_early,cellular response to L-arginine
GO:1903830,2,magnesium ion transmembrane transport,mature_vs_early,magnesium ion transmembrane transport
GO:1903896,2,positive regulation of IRE1-mediated unfolded protein response,mature_vs_early,positive regulation of IRE1-mediated unfolded protein response
GO:1904382,2,mannose trimming involved in glycoprotein ERAD pathway,mature_vs_early,mannose trimming involved in glycoprotein ERAD pathway
GO:1904547,2,regulation of cellular response to glucose starvation,mature_vs_early,regulation of cellular response to glucose starvation
GO:1904828,2,positive regulation of hydrogen sulfide biosynthetic process,mature_vs_early,positive regulation of hydrogen sulfide biosynthetic process
GO:1905329,2,sphingoid long-chain base transport,mature_vs_early,sphingoid long-chain base transport
GO:1905356,2,regulation of snRNA pseudouridine synthesis,mature_vs_early,regulation of snRNA pseudouridine synthesis
GO:1905786,2,positive regulation of anaphase-promoting complex-dependent catabolic process,mature_vs_early,positive regulation of anaphase-promoting complex-dependent catabolic process
GO:1990456,2,mitochondrion-endoplasmic reticulum membrane tethering,mature_vs_early,mitochondrion-endoplasmic reticulum membrane tethering
GO:1990481,2,mRNA pseudouridine synthesis,mature_vs_early,mRNA pseudouridine synthesis
GO:1990542,2,mitochondrial transmembrane transport,mature_vs_early,mitochondrial transmembrane transport
GO:1990544,2,mitochondrial ATP transmembrane transport,mature_vs_early,mitochondrial ATP transmembrane transport
GO:1990547,2,mitochondrial phosphate ion transmembrane transport,mature_vs_early,mitochondrial phosphate ion transmembrane transport
GO:1990822,2,basic amino acid transmembrane transport,mature_vs_early,basic amino acid transmembrane transport
GO:2000002,2,negative regulation of DNA damage checkpoint,mature_vs_early,negative regulation of DNA damage checkpoint
GO:2000185,2,regulation of phosphate transmembrane transport,mature_vs_early,regulation of phosphate transmembrane transport
GO:2000220,2,regulation of pseudohyphal growth,mature_vs_early,regulation of pseudohyphal growth
GO:2000234,2,positive regulation of rRNA processing,mature_vs_early,positive regulation of rRNA processing
GO:2000370,2,positive regulation of clathrin-dependent endocytosis,mature_vs_early,positive regulation of clathrin-dependent endocytosis
GO:2000397,2,positive regulation of ubiquitin-dependent endocytosis,mature_vs_early,positive regulation of ubiquitin-dependent endocytosis
GO:2001295,2,malonyl-CoA biosynthetic process,mature_vs_early,malonyl-CoA biosynthetic process
GO:0000017,1,alpha-glucoside transport,mature_vs_early,alpha-glucoside transport
GO:0000019,1,regulation of mitotic recombination,mature_vs_early,regulation of mitotic recombination
GO:0000038,1,very long-chain fatty acid metabolic process,mature_vs_early,very long-chain fatty acid metabolic process
GO:0000053,1,argininosuccinate metabolic process,mature_vs_early,argininosuccinate metabolic process
GO:0000132,1,establishment of mitotic spindle orientation,mature_vs_early,establishment of mitotic spindle orientation
GO:0000271,1,polysaccharide biosynthetic process,mature_vs_early,polysaccharide biosynthetic process
GO:0000301,1,"retrograde transport, vesicle recycling within Golgi",mature_vs_early,"retrograde transport, vesicle recycling within Golgi"
GO:0000302,1,response to reactive oxygen species,mature_vs_early,response to reactive oxygen species
GO:0000304,1,response to singlet oxygen,mature_vs_early,response to singlet oxygen
GO:0000373,1,Group II intron splicing,mature_vs_early,Group II intron splicing
GO:0000379,1,tRNA-type intron splice site recognition and cleavage,mature_vs_early,tRNA-type intron splice site recognition and cleavage
GO:0000380,1,"alternative mRNA splicing, via spliceosome",mature_vs_early,"alternative mRNA splicing, via spliceosome"
GO:0000387,1,spliceosomal snRNP assembly,mature_vs_early,spliceosomal snRNP assembly
GO:0000388,1,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11),mature_vs_early,spliceosome conformational change to release U4 (or U4atac) and U1 (or U11)
GO:0000423,1,mitophagy,mature_vs_early,mitophagy
GO:0000452,1,snoRNA guided rRNA 2'-O-methylation,mature_vs_early,snoRNA guided rRNA 2'-O-methylation
